path,start,cruise,decel,end
../data/16_7_2026/stationary_sprint_walk_1784073260195.csv,8100,12000,29000,37000
../data/16_7_2026/stationary_sprint_walk_1784073733285.csv,5200,8300,21000,30200
../data/16_7_2026/stationary_sprint_walk_1784074091744.csv,5100,8100,20100,28900
../data/16_7_2026/stationary_sprint_walk_1784074618971.csv,5300,7600,20400,27800
../data/19_07_2026/session_num_1784417040372.csv,5700,8700,15400,22000
../data/19_07_2026/session_num_1784417306824.csv,4100,7900,16600,26000
../data/19_07_2026/session_num_1784418025429.csv,7000,10000,20500,27200
../data/29_7_2026/session_num_1785333949070.csv,5100,8100,21000,30000
../data/29_7_2026/session_num_1785334650288.csv,9300,12300,27500,34500
../data/29_7_2026/session_num_1785335981969.csv,5500,8000,15700,22900
../data/29_7_2026/session_num_1785336652647.csv,6700,10200,21600,29100
../data/6_8_2026/faulty_num_1785989529966.csv,7100,9500,19500,28000
../data/6_8_2026/faulty2_num_1785990267949.csv,4100,7800,14900,23000
../data/6_8_2026/inaccurate_num_1785988999439.csv,8800,11600,23000,33100
../data/6_8_2026/session_num_1785990974746.csv,7900,12400,19000,27500
../data/6_8_2026/session_num_1785991492241.csv,6800,10900,18100,30000
