Path,Start,End
../data/16_7_2026/stationary_sprint_walk_1784073260195.csv,8100,37000
../data/16_7_2026/stationary_sprint_walk_1784073733285.csv,5200,30200
../data/16_7_2026/stationary_sprint_walk_1784074091744.csv,5100,28900
../data/16_7_2026/stationary_sprint_walk_1784074618971.csv,5300,27800
../data/19_07_2026/session_num_1784417040372.csv,5700,22000
../data/19_07_2026/session_num_1784417306824.csv,4100,26000
../data/19_07_2026/session_num_1784418025429.csv,7000,27200
../data/29_7_2026/session_num_1785333949070.csv,5100,30000
../data/29_7_2026/session_num_1785334650288.csv,9300,34500
../data/29_7_2026/session_num_1785335981969.csv,5500,22900
../data/29_7_2026/session_num_1785336652647.csv,6700,29100
../data/6_8_2026/faulty_num_1785989529966.csv,7100,28000
../data/6_8_2026/faulty2_num_1785990267949.csv,4100,23000
../data/6_8_2026/inaccurate_num_1785988999439.csv,8800,33100
../data/6_8_2026/session_num_1785990974746.csv,7900,27500
../data/6_8_2026/session_num_1785991492241.csv,6800,30000
